Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2021-04-12,51,33.7,24.2,38.3,29.2,2021-04-12T05:49,2021-04-12T18:09,44399.18,41923.75,,,0.7,0.7,0.0,0.0,4.0,,20.0,43.6,114,22.0,5.24
An Giang,2021-04-13,61,33.8,24.4,38.4,30.0,2021-04-13T05:49,2021-04-13T18:09,44432.89,41955.19,,,2.1,2.1,0.0,0.0,6.0,,13.0,28.8,123,21.96,5.05
An Giang,2021-04-14,63,33.4,24.5,39.4,29.8,2021-04-14T05:48,2021-04-14T18:09,44466.36,40836.49,,,10.1,10.1,0.0,0.0,14.0,,10.2,23.8,179,20.86,4.55
An Giang,2021-04-15,63,32.2,23.5,38.8,28.3,2021-04-15T05:48,2021-04-15T18:09,44499.58,38529.51,,,8.5,8.5,0.0,0.0,8.0,,12.6,35.6,140,18.59,4.13
An Giang,2021-04-16,63,31.3,24.1,37.3,28.7,2021-04-16T05:47,2021-04-16T18:10,44532.5,34849.07,,,16.6,16.6,0.0,0.0,14.0,,14.1,32.0,169,17.06,3.63
An Giang,2021-04-17,63,32.2,24.2,39.0,28.7,2021-04-17T05:47,2021-04-17T18:10,44565.1,38162.66,,,11.2,11.2,0.0,0.0,10.0,,13.9,29.9,170,19.12,4.08
An Giang,2021-04-18,63,29.2,24.5,35.3,29.8,2021-04-18T05:46,2021-04-18T18:10,44597.37,21566.55,,,11.7,11.7,0.0,0.0,10.0,,9.5,21.6,156,12.03,2.56
An Giang,2021-04-19,63,31.2,24.1,37.4,29.4,2021-04-19T05:46,2021-04-19T18:10,44629.5,37635.14,,,11.4,11.4,0.0,0.0,8.0,,13.9,34.2,202,18.17,3.88
An Giang,2021-04-20,51,32.8,24.6,38.5,29.6,2021-04-20T05:45,2021-04-20T18:10,44661.57,38410.41,,,0.7,0.7,0.0,0.0,7.0,,13.3,30.2,203,20.94,4.8
An Giang,2021-04-21,63,32.3,25.1,38.4,30.1,2021-04-21T05:45,2021-04-21T18:10,44693.57,38438.57,,,4.0,4.0,0.0,0.0,8.0,,14.1,31.3,204,20.26,4.58
An Giang,2021-04-22,63,32.9,25.3,38.5,30.2,2021-04-22T05:44,2021-04-22T18:10,44725.48,25088.24,,,15.5,15.5,0.0,0.0,15.0,,11.5,28.8,207,15.24,3.44
An Giang,2021-04-23,65,31.1,25.1,37.6,30.3,2021-04-23T05:44,2021-04-23T18:10,44757.26,23588.32,,,14.8,14.8,0.0,0.0,13.0,,20.7,40.7,216,14.14,3.05
An Giang,2021-04-24,63,32.0,25.1,37.7,30.4,2021-04-24T05:44,2021-04-24T18:10,44788.89,40674.43,,,6.9,6.9,0.0,0.0,6.0,,14.7,37.8,217,20.54,4.34
An Giang,2021-04-25,63,30.7,24.9,35.8,29.9,2021-04-25T05:43,2021-04-25T18:10,44820.34,40338.66,,,6.3,6.3,0.0,0.0,9.0,,16.2,33.1,205,18.75,4.03
An Giang,2021-04-26,55,32.4,25.0,39.6,30.6,2021-04-26T05:43,2021-04-26T18:10,44851.6,40545.72,,,2.4,2.4,0.0,0.0,9.0,,12.6,28.4,201,20.27,4.36
An Giang,2021-04-27,63,30.5,24.9,36.5,30.1,2021-04-27T05:42,2021-04-27T18:10,44882.64,33845.85,,,8.5,8.5,0.0,0.0,8.0,,9.8,23.4,183,16.24,3.44
An Giang,2021-04-28,61,30.4,23.3,37.1,27.9,2021-04-28T05:42,2021-04-28T18:10,44913.43,40555.61,,,4.8,4.8,0.0,0.0,9.0,,12.5,32.0,131,20.27,4.11
An Giang,2021-04-29,63,30.5,23.4,36.7,28.0,2021-04-29T05:41,2021-04-29T18:11,44943.93,41188.32,,,9.2,9.2,0.0,0.0,12.0,,11.2,29.2,115,18.05,3.72
An Giang,2021-04-30,61,31.6,24.6,38.4,30.0,2021-04-30T05:41,2021-04-30T18:11,44974.13,40459.44,,,3.6,3.6,0.0,0.0,12.0,,13.0,32.0,105,20.58,4.23
An Giang,2021-05-01,63,30.7,24.4,36.8,29.6,2021-05-01T05:41,2021-05-01T18:11,45004.0,36577.49,,,7.5,7.5,0.0,0.0,9.0,,12.3,31.7,111,17.51,3.66
An Giang,2021-05-02,53,32.1,24.5,37.8,29.4,2021-05-02T05:40,2021-05-02T18:11,45033.52,42498.82,,,0.9,0.9,0.0,0.0,4.0,,13.1,34.6,99,21.07,4.49
An Giang,2021-05-03,51,32.8,25.3,37.9,30.9,2021-05-03T05:40,2021-05-03T18:11,45062.64,42524.5,,,1.0,1.0,0.0,0.0,6.0,,16.4,35.3,115,23.23,5.3
